,Platform,Genre,Rating,regional_sales_label,Critic_Score,User_Count,User_Score,interval_years_2020,gloabl_sales_log,cluster_label
0,Wii,Sports,E,NA&EU,0.7757390417940877,0.030201310817526323,0.8901098901098901,0.75,0.9028332049592682,5
1,NES,Platform,None,NA,0.0,0.0,0.0,0.25,0.8310031711779574,13
2,Wii,Racing,E,NA&EU,0.8369011213047911,0.06648789040890381,0.0,0.75,0.818526610411206,15
3,Wii,Sports,E,NA&EU,0.81651376146789,0.018012020515513216,0.8901098901098901,0.75,0.8104683648698814,5
4,GB,Role-Playing,None,JP&NA,0.0,0.0,0.0,0.5,0.8061022208190677,18
5,GB,Puzzle,None,NA,0.0,0.0,0.0,0.25,0.80249968943483,13
6,DS,Platform,E,NA&EU,0.9082568807339451,0.040421561916906545,0.0,0.75,0.8009678579499451,26
7,Wii,Misc,E,NA&EU,0.5922528032619776,0.012104902907614555,0.0,0.75,0.7979703583278654,26
8,Wii,Platform,E,NA&EU,0.887869520897044,0.055705056680199906,0.0,0.75,0.795873845481361,26
9,NES,Shooter,None,NA,0.0,0.0,0.0,0.125,0.7958385285111899,13
10,DS,Simulation,None,NA&EU,0.0,0.0,0.0,0.75,0.7820758116529356,2
11,DS,Racing,E,NA&EU,0.9286442405708462,0.0435157663781868,0.0,0.75,0.7759753406274437,15
12,GB,Role-Playing,None,JP&NA,0.0,0.0,0.0,0.5,0.7755002803515838,18
13,Wii,Sports,E,NA&EU,0.81651376146789,0.013698887024031653,0.0,0.75,0.7737535110475448,26
14,X360,Misc,E,NA,0.6228338430173294,0.009948336161873773,0.0,0.875,0.7697538766201628,24
15,Wii,Sports,E,NA&EU,0.81651376146789,0.004885092497960638,0.0,0.75,0.7696621334944619,26
16,PS3,Action,M,NA&EU,0.9898063200815496,0.3745018799636196,0.0,0.875,0.76615955738576,9
17,PS2,Action,M,NA&EU,0.9694189602446484,0.1489062456048232,1.0,0.625,0.7650603826393634,5
18,SNES,Platform,None,NA,0.0,0.0,0.0,0.375,0.7640946580890459,13
19,DS,Misc,E,NA&EU,0.7859327217125383,0.004697564954852744,0.0,0.75,0.7618374474380782,26
20,DS,Role-Playing,None,JP&NA,0.0,0.0,0.0,0.75,0.7519335266016591,18
21,GB,Platform,None,JP&NA,0.0,0.0,0.0,0.25,0.7513289630675082,13
22,NES,Platform,None,JP&NA,0.0,0.0,0.0,0.25,0.7464719949364,13
23,X360,Action,M,NA&EU,0.9898063200815496,0.34796673261385264,0.0,0.875,0.7404493107219038,14
24,PS2,Action,M,NA&EU,0.9694189602446484,0.0684569296115367,0.0,0.625,0.7397090235656757,9
25,GBA,Role-Playing,None,JP&NA,0.0,0.0,0.0,0.625,0.7378339686311379,18
26,DS,Puzzle,E,JP&NA,0.7859327217125383,0.0017908880366803875,0.0,0.75,0.7342369205929062,26
27,DS,Role-Playing,None,JP&NA,0.0,0.0,0.0,0.875,0.7332510433997393,18
28,PS2,Racing,E,NA&EU,0.9694189602446484,0.02945120064509475,0.0,0.625,0.7321886164077164,15
29,X360,Shooter,M,NA&EU,0.8980632008154945,0.8169731179266955,0.0,0.875,0.730505641646263,22
30,GB,Role-Playing,None,NA&EU,0.0,0.0,0.0,0.5,0.7298927694521257,17
31,PS4,Shooter,None,NA&EU,0.0,0.0,0.0,1.0,0.7298244401020124,17
32,X360,Shooter,M,NA&EU,0.887869520897044,0.13634190021659431,0.0,0.875,0.7296876411750699,22
33,3DS,Role-Playing,None,JP&NA,0.0,0.0,0.0,0.875,0.7296191714702381,18
34,PS3,Shooter,M,NA&EU,0.8470948012232417,0.08645957374989452,0.0,0.875,0.7239113877793301,22
35,X360,Shooter,M,NA&EU,0.8470948012232417,0.2115404450028598,0.0,0.875,0.7230373836723949,22
36,X360,Shooter,M,NA&EU,0.9592252803261978,0.2529840320297043,0.0,0.75,0.7215635176410363,22
37,PS3,Shooter,M,NA&EU,0.8980632008154945,0.4907689566905139,0.0,0.875,0.7204436851100333,22
38,PS2,Action,M,NA&EU,0.9898063200815496,0.06226852068897619,0.0,0.625,0.7187782416195196,9
39,Wii,Fighting,T,NA&EU,0.9490316004077473,0.15584476469981529,0.0,0.75,0.7167735484249906,1
40,3DS,Racing,E,NA&EU,0.8674821610601428,0.05926807999924989,0.0,0.875,0.7153617602704121,15
41,PS3,Shooter,M,NA&EU,0.8980632008154945,0.1025869424571734,0.0,0.875,0.715124512235049,22
42,PS4,Action,M,NA&EU,0.9898063200815496,0.27183055011204765,0.0,0.875,0.7149660335964919,9
43,DS,Simulation,E,JP&NA,0.8776758409785933,0.022700209093210567,0.0,0.75,0.7110851908944049,26
44,X360,Shooter,M,NA&EU,0.9592252803261978,0.384440839748338,0.0,0.75,0.7110027166629258,22
